Country,Births.attended.by.skilled.health.personnel....,maternal_mortality,lower_bound,upper_bound,year,income
Afghanistan,45.2,NA,NA,NA,2013,2000
Albania,99.3,NA,NA,NA,2008,8920
Albania,99.3,NA,NA,NA,2009,9370
Albania,NA,43,33,56,2000,4370
Albania,NA,71,58,88,1990,2840
Algeria,96.6,NA,NA,NA,2012,12750
Algeria,96.6,NA,NA,NA,2013,12990
Algeria,NA,170,118,241,2000,7460
Algeria,NA,216,141,327,1990,6330
Angola,46.7,NA,NA,NA,2006,4260
Angola,46.7,NA,NA,NA,2007,5320
Angola,NA,924,472,1730,2000,2190
Angola,NA,1160,627,2020,1990,2190
Armenia,99.5,NA,NA,NA,2010,6620
Armenia,NA,40,35,46,2000,2380
Armenia,NA,58,51,65,1990,2330
Australia,99.3,NA,NA,NA,2013,42540
Australia,NA,9,8,10,2000,25580
Australia,NA,8,7,9,1990,16820
Austria,NA,5,4,6,2000,28450
Austria,NA,8,7,10,1990,19180
Azerbaijan,97.2,NA,NA,NA,2011,14590
Azerbaijan,NA,48,42,55,2000,3350
Bahamas,NA,61,50,74,2000,20020
Bahamas,NA,46,34,61,1990,17480
Bahrain,NA,21,18,26,2000,34880
Bahrain,NA,26,20,33,1990,19200
Bangladesh,NA,399,322,496,2000,1140
Bangladesh,NA,569,446,715,1990,710
Barbados,98.9,NA,NA,NA,2012,15080
Barbados,NA,48,38,58,2000,11320
Barbados,NA,58,47,72,1990,8250
Belarus,100.0,NA,NA,NA,2012,16800
Belarus,NA,26,22,31,2000,5770
Belarus,NA,33,28,38,1990,5230
Belgium,NA,9,8,11,2000,28310
Belgium,NA,9,7,10,1990,18650
Belize,95.1,NA,NA,NA,2011,7940
Belize,NA,53,45,62,2000,6160
Belize,NA,54,45,65,1990,3280
Benin,NA,572,448,732,2000,1200
Benin,NA,576,453,726,1990,860
Bhutan,74.6,NA,NA,NA,2012,6960
Bhutan,NA,423,328,538,2000,2860
Bhutan,NA,945,697,1260,1990,1420
Bolivia (Plurinational State of),85.1,NA,NA,NA,2012,5400
Bolivia (Plurinational State of),NA,334,272,416,2000,3340
Bolivia (Plurinational State of),NA,425,340,527,1990,2300
Bosnia and Herzegovina,NA,17,12,24,2000,4840
Botswana,99.9,NA,NA,NA,2013,15500
Botswana,NA,311,261,361,2000,7620
Botswana,NA,243,149,352,1990,5070
Brazil,99.1,NA,NA,NA,2013,14750
Brazil,NA,66,64,67,2000,8500
Brazil,NA,104,91,119,1990,6300
Brunei Darussalam,NA,31,25,39,2000,59100
Brunei Darussalam,NA,35,25,48,1990,49930
Bulgaria,NA,21,18,25,2000,6080
Bulgaria,NA,25,21,29,1990,4970
Burkina Faso,65.9,NA,NA,NA,2010,1390
Burkina Faso,NA,547,432,686,2000,840
Burkina Faso,NA,727,549,978,1990,540
Burundi,60.3,NA,NA,NA,2010,710
Burundi,NA,954,682,1310,2000,580
Burundi,NA,1220,848,1760,1990,670
Cote d'Ivoire,56.4,NA,NA,NA,2011,2460
Cote d'Ivoire,56.4,NA,NA,NA,2012,2680
Cote d'Ivoire,NA,671,522,856,2000,2160
Cote d'Ivoire,NA,745,577,964,1990,1710
Cabo Verde,92.3,NA,NA,NA,2013,6220
Cabo Verde,NA,83,45,162,2000,2910
Cabo Verde,NA,256,141,460,1990,1050
